11,13,-2
12,17,-5
18,15,3
15,14,1
15,15,0
19,13,6
23,14,9
20,30,-10
21,25,-4
19,18,1
19,22,-3
17,26,-9
23,13,10
29,14,15
25,24,1
25,25,0
27,25,2
18,21,-3
32,25,7
32,18,14
34,18,16
32,22,10
28,24,4
21,27,-6
35,28,7
46,30,16
32,33,-1
37,28,9
34,28,6
39,29,10
31,34,-3
37,33,4
29,37,-8
29,23,6
54,24,30
49,32,17
35,25,10
40,34,6
35,29,6
31,26,5
23,24,-1
32,23,9
44,28,16
35,33,2
33,43,-10
28,29,-1
30,25,5
28,34,-6
36,54,-18
38,36,2
63,51,12
27,42,-15
41,29,12
39,44,-5
38,32,6
40,32,8
30,32,-2
31,39,-8
36,36,0
52,29,23
61,48,13
43,37,6
33,40,-7
56,76,-20
24,48,-24
87,88,-1
70,54,16
62,44,18
40,55,-15
50,48,2
89,74,15
79,43,36
39,59,-20
61,68,-7
48,84,-36
60,45,15
66,73,-7
30,74,-44
62,66,-4
64,76,-12
52,59,-7
71,50,21
59,96,-37
26,70,-44
42,56,-14
43,55,-12
78,60,18
58,62,-4
61,45,16
67,63,4
68,68,0
65,47,18
51,69,-18
41,46,-5
46,44,2
46,93,-47
42,41,1
83,46,37
51,55,-4
41,48,-7
28,53,-25
52,38,14
33,57,-24
45,55,-10
41,47,-6
42,49,-7
38,59,-21
32,37,-5
36,45,-9
31,43,-12
40,47,-7
33,44,-11
53,35,18
44,49,-5
25,62,-37
45,73,-28
68,42,26
39,40,-1
36,41,-5
40,34,6
28,31,-3
33,25,8
28,47,-19
26,38,-12
27,26,1
27,44,-17
25,22,3
22,31,-9
27,50,-23
25,43,-18
19,66,-47
29,52,-23
26,34,-8
29,28,1
35,24,11
30,24,6
21,36,-15
26,35,-9
25,33,-8
23,22,1
28,28,0
15,23,-8
14,39,-25
24,38,-14
18,31,-13
16,21,-5
15,24,-9
28,24,4
23,34,-11
26,37,-11
39,25,14
23,25,-2
24,30,-6
21,23,-2
21,31,-10
24,25,-1
29,29,0
22,24,-2
36,26,10
30,15,15
41,19,22
26,19,7
25,30,-5
44,21,23
49,30,19
49,23,26
37,20,17
36,27,9
40,30,10
52,21,31
28,26,2
72,21,51
58,23,35
43,30,13
49,26,23
33,24,9
32,32,0
36,32,4
39,28,11
41,30,11
46,29,17
66,30,36
43,37,6
33,30,3
59,27,32
82,23,59
55,27,28
50,25,25
49,29,20
60,38,22
59,32,27
67,42,25
77,34,43
70,34,36
60,26,34
42,55,-13
48,45,3
62,32,30
60,30,30
55,27,28
47,29,18
36,44,-8
51,40,11
59,48,11
49,40,9
91,38,53
45,45,0
